date,open,high,low,close,volume
2021-10-19 15:30:00,450.4,450.7,449.9726,450.68,7771100
2021-10-20 09:30:00,451.13,452.51,451.01,452.49,9008642
2021-10-20 10:30:00,452.48,452.732,451.83,452.02,6173292
2021-10-20 11:30:00,452.03,452.57,451.8,452.3199,2714989
2021-10-20 12:30:00,452.32,452.56,451.02,451.7999,5401785
2021-10-20 13:30:00,451.8,452.35,451.5,452.145,4890483
2021-10-20 14:30:00,452.14,452.51,451.975,451.99,5664378
2021-10-20 15:30:00,451.99,452.4,451.635,452.4,8448442
2021-10-21 09:30:00,451.77,452.475,451.31,452.47,6840650
2021-10-21 10:30:00,452.47,452.86,451.4,451.44,5557035
2021-10-21 11:30:00,451.44,452.27,451.36,452.21,5113218
2021-10-21 12:30:00,452.2,452.38,451.9235,452.31,2683190
2021-10-21 13:30:00,452.31,452.43,451.7629,452.3701,4185483
2021-10-21 14:30:00,452.38,453.275,452.22,453.24,4013831
2021-10-21 15:30:00,453.24,453.829,452.94,453.61,7757458
2021-10-22 09:30:00,453.13,454.67,452.91,454.65,8600323
2021-10-22 10:30:00,454.65,454.66,451.94,452.42,7578105
2021-10-22 11:30:00,452.43,452.54,451.05,452.35,9907611
2021-10-22 12:30:00,452.34,453.35,452.28,452.87,5637948
2021-10-22 13:30:00,452.89,453.42,452.49,453.42,4280405
2021-10-22 14:30:00,453.426,454.08,452.7,452.965,6991027
2021-10-22 15:30:00,452.96,453.67,452.89,453.13,9028782
2021-10-25 09:30:00,454.28,454.3,452.39,453.92,9262418
2021-10-25 10:30:00,453.92,454.69,453.705,454.62,5123177
2021-10-25 11:30:00,454.64,455.45,454.36,455.34,4471455
2021-10-25 12:30:00,455.34,455.9,455.1701,455.63,2913642
2021-10-25 13:30:00,455.62,455.78,455.2,455.77,3502254
2021-10-25 14:30:00,455.76,455.89,455.1,455.44,4183079
2021-10-25 15:30:00,455.43,455.51,454.88,455.49,9066880
2021-10-26 09:30:00,457.2,458.49,456.78,458.21,9687733
2021-10-26 10:30:00,458.2,458.4,457.81,458.28,5875443
2021-10-26 11:30:00,458.29,458.35,456.5,456.67,7084234
2021-10-26 12:30:00,456.665,456.8501,455.56,456.27,7641712
2021-10-26 13:30:00,456.26,457.12,456.16,456.82,5885347
2021-10-26 14:30:00,456.81,457.31,456.5301,456.75,6225647
2021-10-26 15:30:00,456.75,457.43,455.89,455.9801,8199583
2021-10-27 09:30:00,456.45,457.16,455.33,455.85,10391957
2021-10-27 10:30:00,455.85,456.44,455.54,456.15,5893730
2021-10-27 11:30:00,456.16,456.5,455.66,456.31,4957050
2021-10-27 12:30:00,456.34,456.92,455.91,456.79,3118085
2021-10-27 13:30:00,456.785,457.13,456.6,456.73,3629656
2021-10-27 14:30:00,456.74,456.79,454.55,455.325,8163740
2021-10-27 15:30:00,455.325,455.36,453.86,453.9,12916212
2021-10-28 09:30:00,455.46,457.125,455.45,457.06,8705519
2021-10-28 10:30:00,457.07,457.976,457.0,457.52,5874819
2021-10-28 11:30:00,457.53,457.95,456.86,457.305,4076628
2021-10-28 12:30:00,457.31,457.43,456.5,457.05,3682341
2021-10-28 13:30:00,457.06,457.87,457.0525,457.78,7066128
2021-10-28 14:30:00,457.785,457.91,457.0929,457.24,4429915
2021-10-28 15:30:00,457.23,458.4,457.1,458.26,9959822
2021-10-29 09:30:00,455.87,457.64,455.56,456.74,10960068
2021-10-29 10:30:00,456.77,458.21,456.48,458.06,7632613
2021-10-29 11:30:00,458.05,459.165,457.79,459.14,7816581
2021-10-29 12:30:00,459.14,459.15,458.65,458.85,4431430
2021-10-29 13:30:00,458.86,458.94,457.82,457.83,4950886
2021-10-29 14:30:00,457.84,458.36,457.58,457.905,8509070
2021-10-29 15:30:00,457.9,459.56,457.79,459.23,15573755
2021-11-01 09:30:00,460.3,460.7021,458.2,459.04,13231318
2021-11-01 10:30:00,459.03,459.44,458.26,459.23,5841978
2021-11-01 11:30:00,459.23,459.73,459.01,459.675,3451054
2021-11-01 12:30:00,459.68,460.02,459.1,459.25,3957010
2021-11-01 13:30:00,459.26,459.39,458.22,458.63,3724690
2021-11-01 14:30:00,458.61,459.54,458.61,459.39,3669906
2021-11-01 15:30:00,459.37,460.23,459.37,460.1,8261563
2021-11-02 09:30:00,460.22,461.43,460.08,461.22,9326261
2021-11-02 10:30:00,461.22,461.82,461.08,461.79,6020475
2021-11-02 11:30:00,461.79,462.23,461.07,461.69,5203554
2021-11-02 12:30:00,461.7,462.1,461.55,461.55,3617687
2021-11-02 13:30:00,461.56,461.785,461.2201,461.455,4742200
2021-11-02 14:30:00,461.45,462.0,461.32,461.805,4595264
2021-11-02 15:30:00,461.8,462.04,461.37,461.87,8039631
2021-11-03 09:30:00,461.3,461.67,460.83,461.26,6721046
2021-11-03 10:30:00,461.25,461.56,461.08,461.185,3168563
2021-11-03 11:30:00,461.19,461.53,461.04,461.37,2195936
2021-11-03 12:30:00,461.38,461.51,461.07,461.295,1755534
2021-11-03 13:30:00,461.29,462.72,460.86,462.35,8598545
